gene_id	gene_name	gene_type	chrom	start	end	strand	clip_count	rpf_siLuc	rpf_siLin28a	rna_siLuc	rna_siLin28a
ENSMUSG00000000182.10	Fgf23	protein_coding	chr6	127049865	127058371	+	0	8	1	8	22
ENSMUSG00000000184.13	Ccnd2	protein_coding	chr6	127102125	127129156	-	823	400	143	763	930
ENSMUSG00000000194.14	Gpr107	protein_coding	chr2	31042328	31108787	+	1231	674	979	589	886
ENSMUSG00000000197.9	Nalcn	protein_coding	chr14	123514046	123864556	-	16	1	6	13	17
ENSMUSG00000000223.14	Drp2	protein_coding	chrX	133305300	133357322	+	6	4	0	11	8
ENSMUSG00000000244.18	Tspan32	protein_coding	chr7	142558783	142573381	+	13	3	4	16	24
ENSMUSG00000000247.12	Lhx2	protein_coding	chr2	38229293	38259745	+	0	3	5	1	3
ENSMUSG00000000253.14	Gmpr	protein_coding	chr13	45660920	45707276	+	77	102	55	126	162
ENSMUSG00000000275.17	Trim25	protein_coding	chr11	88890202	88911119	+	1599	1455	683	2512	3681
ENSMUSG00000000276.12	Dgke	protein_coding	chr11	88926005	88957676	-	683	143	148	524	590
ENSMUSG00000000278.11	Scpep1	protein_coding	chr11	88814846	88846291	-	6118	5318	7242	2554	3771
ENSMUSG00000000282.13	Mnt	protein_coding	chr11	74721746	74736551	+	636	321	263	649	1233
ENSMUSG00000000290.14	Itgb2	protein_coding	chr10	77366086	77401542	+	5	6	0	5	10
ENSMUSG00000000295.14	Hddc2	protein_coding	chr10	31189379	31204200	+	267	372	260	303	340
ENSMUSG00000000296.9	Tpd52l1	protein_coding	chr10	31208372	31321954	-	207	171	121	206	203
ENSMUSG00000000301.17	Pemt	protein_coding	chr11	59861440	59937315	-	86	60	68	56	86
ENSMUSG00000000303.13	Cdh1	protein_coding	chr8	107329983	107396878	+	17255	7620	10857	3592	4823
ENSMUSG00000000305.13	Cdh4	protein_coding	chr2	179084224	179541166	+	88	82	312	50	248
ENSMUSG00000000308.15	Ckmt1	protein_coding	chr2	121188195	121194218	+	37	158	132	201	373
ENSMUSG00000000317.12	Bcl6b	protein_coding	chr11	70114954	70120624	-	88	44	28	106	189
ENSMUSG00000000320.11	Alox12	protein_coding	chr11	70132283	70146179	-	11	27	16	48	76
ENSMUSG00000000326.14	Comt	protein_coding	chr16	18225636	18245602	-	150	101	103	473	390
ENSMUSG00000000339.15	Rtca	protein_coding	chr3	116282612	116301857	-	503	308	205	536	660
ENSMUSG00000000340.11	Dbt	protein_coding	chr3	116306719	116343630	+	922	685	723	549	813
ENSMUSG00000000346.10	Dazap2	protein_coding	chr15	100513230	100518642	+	261	287	338	373	643
ENSMUSG00000000355.14	Mcts1	protein_coding	chrX	37689455	37702303	+	118	179	87	119	145
ENSMUSG00000000365.10	Rnf17	protein_coding	chr14	56640038	56762489	+	516	277	108	558	364
ENSMUSG00000000374.9	Trappc10	protein_coding	chr10	78022559	78080475	-	463	50	60	405	484
ENSMUSG00000000378.16	Ccm2	protein_coding	chr11	6496887	6546744	+	377	173	116	514	649
ENSMUSG00000000384.16	Tbrg4	protein_coding	chr11	6565598	6576067	-	1002	1543	933	2204	3128
ENSMUSG00000000399.11	Ndufa9	protein_coding	chr6	126798684	126826099	-	1957	1827	1856	758	1075
ENSMUSG00000000402.3	Egfl6	protein_coding	chrX	165306003	165368716	-	64	27	84	18	28
ENSMUSG00000000409.15	Lck	protein_coding	chr4	129442137	129467434	-	112	129	64	344	348
ENSMUSG00000000416.17	Cttnbp2	protein_coding	chr6	18366477	18514842	-	24	14	21	34	71
ENSMUSG00000000420.16	Galnt1	protein_coding	chr18	24338401	24419875	+	1706	285	431	525	736
ENSMUSG00000000439.10	Mkrn2	protein_coding	chr6	115578863	115599585	+	212	233	143	289	431
ENSMUSG00000000441.18	Raf1	protein_coding	chr6	115595028	115653596	-	563	314	227	896	1129
ENSMUSG00000000486.14	Septin1	protein_coding	chr7	126813619	126832302	-	215	501	337	772	1460
ENSMUSG00000000489.8	Pdgfb	protein_coding	chr15	79880075	79899178	-	51	61	58	72	90
ENSMUSG00000000530.17	Acvrl1	protein_coding	chr15	101026403	101043217	+	24	18	26	13	27
ENSMUSG00000000531.6	Tamalin	protein_coding	chr15	101122069	101130637	+	111	151	97	238	377
ENSMUSG00000000532.12	Acvr1b	protein_coding	chr15	101071948	101111565	+	1992	401	636	625	878
ENSMUSG00000000538.19	Tom1l2	protein_coding	chr11	60117540	60243731	-	111	87	64	242	448
ENSMUSG00000000544.15	Gpa33	protein_coding	chr1	165957807	165994079	+	3379	1704	3409	1461	2370
ENSMUSG00000000552.11	Zfp385a	protein_coding	chr15	103222322	103248520	-	108	146	83	194	290
ENSMUSG00000000555.9	Itga5	protein_coding	chr15	103252713	103275190	-	578	1119	1535	506	724
ENSMUSG00000000561.15	Wdr77	protein_coding	chr3	105866685	105877353	+	1919	2	2	1035	1134
ENSMUSG00000000562.6	Adora3	protein_coding	chr3	105778174	105816242	+	6	1	0	1	12
ENSMUSG00000000563.18	Atp5pb	protein_coding	chr3	105850014	105867415	-	3798	1813	1048	1663	1591
ENSMUSG00000000568.16	Hnrnpd	protein_coding	chr5	100103794	100126797	-	3205	3426	1258	3339	2938
ENSMUSG00000000579.15	Dynlt1c	protein_coding	chr17	6869070	6877173	+	35	4	2	52	64
ENSMUSG00000000581.9	C1d	protein_coding	chr11	17207579	17219176	+	655	502	406	591	571
ENSMUSG00000000594.8	Gm2a	protein_coding	chr11	54988941	55003855	+	1039	1135	1648	458	857
ENSMUSG00000000600.16	Krit1	protein_coding	chr5	3853184	3895564	+	687	132	62	598	765
ENSMUSG00000000605.10	Clcn4	protein_coding	chr7	7285308	7303850	-	484	91	108	113	149
ENSMUSG00000000606.19	Vmn2r88	protein_coding	chr14	51648277	51658178	+	8	0	0	4	6
ENSMUSG00000000627.16	Sema4f	protein_coding	chr6	82888866	82916750	-	27	18	25	15	21
ENSMUSG00000000628.11	Hk2	protein_coding	chr6	82702006	82751435	-	1381	637	228	2674	3062
ENSMUSG00000000631.21	Myo18a	protein_coding	chr11	77654072	77756806	+	1842	97	85	1508	2391
ENSMUSG00000000632.14	Sez6	protein_coding	chr11	77821626	77869874	+	3	13	52	13	29
ENSMUSG00000000673.10	Haao	protein_coding	chr17	84138585	84155392	-	2	1	3	6	1
ENSMUSG00000000682.8	Cd52	protein_coding	chr4	133809759	133822393	-	12	1	3	7	7
ENSMUSG00000000693.11	Loxl3	protein_coding	chr6	83011154	83029543	+	0	6	2	7	1
ENSMUSG00000000708.15	Kat2b	protein_coding	chr17	53873889	53979748	+	823	138	158	676	1143
ENSMUSG00000000711.4	Rab5b	protein_coding	chr10	128513044	128532133	-	517	98	78	536	768
ENSMUSG00000000724.11	Cryba1	protein_coding	chr11	77609441	77616109	-	36	0	1	10	7
ENSMUSG00000000730.14	Dnmt3l	protein_coding	chr10	77877781	77899456	+	1205	2257	478	2699	1914
ENSMUSG00000000731.16	Aire	protein_coding	chr10	77865856	77879444	-	18	72	63	209	380
ENSMUSG00000000732.10	Icosl	protein_coding	chr10	77905136	77919747	+	146	78	71	160	205
ENSMUSG00000000738.19	Spg7	protein_coding	chr8	123789681	123824499	+	832	525	517	903	1244
ENSMUSG00000000739.15	Sult5a1	protein_coding	chr8	123866931	123885054	-	16	43	22	18	43
ENSMUSG00000000740.13	Rpl13	protein_coding	chr8	123829089	123831983	+	1389	2440	1916	1290	1052
ENSMUSG00000000743.10	Chmp1a	protein_coding	chr8	123931003	123939502	-	394	307	215	696	827
ENSMUSG00000000751.14	Rpa1	protein_coding	chr11	75188992	75239150	-	4729	2440	644	5894	6067
ENSMUSG00000000753.16	Serpinf1	protein_coding	chr11	75300595	75313527	-	45	14	9	12	11
ENSMUSG00000000759.15	Tubgcp3	protein_coding	chr8	12664277	12722248	-	301	199	110	457	727
ENSMUSG00000000776.14	Polr3d	protein_coding	chr14	70676197	70680887	-	174	177	98	465	451
ENSMUSG00000000782.17	Tcf7	protein_coding	chr11	52143198	52174158	-	523	534	428	707	1175
ENSMUSG00000000787.13	Ddx3x	protein_coding	chrX	13147209	13160291	+	9668	4479	1417	10923	10910
ENSMUSG00000000791.10	Il12rb1	protein_coding	chr8	71261093	71274068	+	16	11	14	21	20
ENSMUSG00000000792.3	Slc5a5	protein_coding	chr8	71335533	71345401	-	7	34	32	26	18
ENSMUSG00000000794.10	Kcnn3	protein_coding	chr3	89427471	89582439	+	7	4	9	10	23
ENSMUSG00000000804.15	Usp32	protein_coding	chr11	84875268	85030987	-	1334	379	232	1795	1777
ENSMUSG00000000805.19	Car4	protein_coding	chr11	84848612	84856870	+	17	36	6	20	2
ENSMUSG00000000811.15	Txnrd3	protein_coding	chr6	89620970	89652511	+	83	79	28	176	169
ENSMUSG00000000823.17	Zfp512b	protein_coding	chr2	181223896	181234596	-	167	55	55	388	702
ENSMUSG00000000826.17	Dnajc5	protein_coding	chr2	181162278	181196926	+	906	365	281	1147	1486
ENSMUSG00000000827.19	Tpd52l2	protein_coding	chr2	181138935	181159759	+	760	1166	732	1083	1328
ENSMUSG00000000838.18	Fmr1	protein_coding	chrX	67722147	67761569	+	1246	288	143	1177	1165
ENSMUSG00000000861.16	Bcl11a	protein_coding	chr11	24028056	24124123	+	37	10	6	29	42
ENSMUSG00000000876.12	Pxmp4	protein_coding	chr2	154427678	154445628	-	67	66	115	66	71
ENSMUSG00000000881.13	Dlg3	protein_coding	chrX	99811328	99862016	+	185	102	48	283	302
ENSMUSG00000000884.18	Gnb1l	protein_coding	chr16	18317463	18385429	+	56	67	58	99	108
ENSMUSG00000000901.18	Mmp11	protein_coding	chr10	75759056	75772330	-	928	254	333	281	418
ENSMUSG00000000902.14	Smarcb1	protein_coding	chr10	75732603	75757451	-	401	1048	440	1066	1743
ENSMUSG00000000903.4	Vpreb3	protein_coding	chr10	75778891	75785491	+	35	8	6	24	22
ENSMUSG00000000915.16	Hip1r	protein_coding	chr5	124111691	124143621	+	558	111	108	350	653
ENSMUSG00000000916.16	Nsun5	protein_coding	chr5	135398807	135405659	+	80	248	105	372	489
ENSMUSG00000000934.10	Top1mt	protein_coding	chr15	75528884	75550649	-	102	53	44	116	197
ENSMUSG00000000948.17	Gm38393	protein_coding	chr7	59623897	59654812	-	693	13	4	539	472
ENSMUSG00000000957.12	Mmp14	protein_coding	chr14	54669069	54682821	+	197	225	364	139	210
ENSMUSG00000000958.11	Slc7a7	protein_coding	chr14	54606899	54655237	-	1430	1524	1136	936	610
ENSMUSG00000000959.8	Oxa1l	protein_coding	chr14	54598291	54607130	+	314	1145	1124	728	1134
ENSMUSG00000000976.14	Heatr6	protein_coding	chr11	83644522	83674580	+	233	352	157	513	807
ENSMUSG00000001016.13	Ilf2	protein_coding	chr3	90383433	90395686	+	947	1193	434	1618	1967
ENSMUSG00000001017.16	Chtop	protein_coding	chr3	90406263	90416805	-	740	961	422	1834	2205
ENSMUSG00000001018.16	Snapin	protein_coding	chr3	90395333	90398340	-	391	168	150	282	293
ENSMUSG00000001025.9	S100a6	protein_coding	chr3	90520189	90531488	+	132	600	791	130	265
ENSMUSG00000001027.8	Scn4a	protein_coding	chr11	106209418	106244114	-	8	10	11	0	9
ENSMUSG00000001029.16	Icam2	protein_coding	chr11	106268482	106278901	-	21	9	8	7	5
ENSMUSG00000001034.18	Mapk7	protein_coding	chr11	61379638	61385232	-	121	331	242	518	850
ENSMUSG00000001036.18	Epn2	protein_coding	chr11	61408075	61470513	-	1423	526	298	1316	1639
ENSMUSG00000001039.13	B9d1	protein_coding	chr11	61395970	61403757	+	221	464	451	266	338
ENSMUSG00000001052.16	Sec24b	protein_coding	chr3	129776408	129855202	-	218	446	268	470	800
ENSMUSG00000001053.16	N4bp3	protein_coding	chr11	51533890	51541669	-	400	695	335	1134	1457
ENSMUSG00000001054.10	Rmnd5b	protein_coding	chr11	51514498	51526723	-	555	1143	846	1606	3399
ENSMUSG00000001056.4	Nhp2	protein_coding	chr11	51510562	51514541	+	3112	4425	3387	2735	3010
ENSMUSG00000001062.19	Vps9d1	protein_coding	chr8	123969095	123981087	-	47	24	14	66	133
ENSMUSG00000001065.16	Zfp276	protein_coding	chr8	123980934	123996484	+	29	22	9	96	154
ENSMUSG00000001076.8	C1ql4	protein_coding	chr15	98981967	98985698	-	10	2	3	5	8
ENSMUSG00000001082.13	Mfsd10	protein_coding	chr5	34790986	34794556	-	297	890	1388	315	597
ENSMUSG00000001089.15	Luzp1	protein_coding	chr4	136197072	136282091	+	2229	430	207	1732	2127
ENSMUSG00000001095.6	Slc13a2	protein_coding	chr11	78287913	78313043	-	13	4	4	2	5
ENSMUSG00000001098.16	Kctd10	protein_coding	chr5	114501628	114518569	-	101	322	192	276	450
ENSMUSG00000001100.11	Poldip2	protein_coding	chr11	78403019	78413562	+	689	1126	609	1802	2082
ENSMUSG00000001103.8	Sebox	protein_coding	chr11	78394273	78395907	+	0	0	1	7	4
ENSMUSG00000001105.16	Ift20	protein_coding	chr11	78427187	78432563	+	420	520	277	686	780
ENSMUSG00000001119.8	Col6a1	protein_coding	chr10	76544626	76562002	-	0	4	8	1	5
ENSMUSG00000001120.16	Pcbp3	protein_coding	chr10	76597691	76797721	-	126	154	73	252	287
ENSMUSG00000001123.16	Lgals9	protein_coding	chr11	78853800	78875772	-	32	66	55	33	128
ENSMUSG00000001127.13	Araf	protein_coding	chrX	20664053	20726758	+	1212	313	388	463	831
ENSMUSG00000001128.8	Cfp	protein_coding	chrX	20791693	20797794	-	28	130	289	45	137
ENSMUSG00000001131.12	Timp1	protein_coding	chrX	20736405	20740974	+	108	675	876	149	235
ENSMUSG00000001134.10	Uxt	protein_coding	chrX	20807961	20828256	-	53	42	33	97	77
ENSMUSG00000001138.14	Cnnm3	protein_coding	chr1	36550948	36567318	+	568	315	393	401	617
ENSMUSG00000001143.14	Lman2l	protein_coding	chr1	36458952	36484352	-	504	232	294	354	442
ENSMUSG00000001150.8	Mcm3ap	protein_coding	chr10	76304761	76351691	+	1080	741	351	2111	2834
ENSMUSG00000001151.11	Pcnt	protein_coding	chr10	76187097	76278620	-	6143	692	657	2529	3790
ENSMUSG00000001156.10	Mxd1	protein_coding	chr6	86624024	86646143	-	65	22	31	94	160
ENSMUSG00000001157.14	Gmcl1	protein_coding	chr6	86668750	86710365	-	535	149	138	591	838
ENSMUSG00000001158.14	Snrnp27	protein_coding	chr6	86652133	86661504	-	451	484	286	324	283
ENSMUSG00000001166.18	Oas1c	protein_coding	chr5	120938259	120950579	-	17	5	9	37	56
ENSMUSG00000001168.17	Oas1h	protein_coding	chr5	120999484	121011569	+	0	0	1	5	5
ENSMUSG00000001173.16	Ocrl	protein_coding	chrX	47001264	47054745	+	340	169	169	439	748
ENSMUSG00000001175.17	Calm1	protein_coding	chr12	100165694	100176073	+	1857	2855	1966	3473	4524
ENSMUSG00000001211.16	Agpat3	protein_coding	chr10	78105012	78188323	-	93	41	60	111	163
ENSMUSG00000001227.13	Sema6b	protein_coding	chr17	56430085	56447343	-	70	19	16	26	53
ENSMUSG00000001228.15	Uhrf1	protein_coding	chr17	56610321	56630486	+	1575	1589	444	3294	4356
ENSMUSG00000001229.10	Dpp9	protein_coding	chr17	56493807	56525905	-	247	293	154	423	754
ENSMUSG00000001240.14	Ramp2	protein_coding	chr11	101136854	101150372	+	9	12	22	5	14
ENSMUSG00000001247.17	Lsr	protein_coding	chr7	30657195	30672889	-	74	205	239	124	261
ENSMUSG00000001248.16	Gramd1a	protein_coding	chr7	30829552	30855321	-	87	212	219	489	834
ENSMUSG00000001249.15	Hpn	protein_coding	chr7	30798150	30814715	-	36	33	31	36	42
ENSMUSG00000001270.10	Ckb	protein_coding	chr12	111635795	111638772	-	633	3988	2012	4363	8112
ENSMUSG00000001280.14	Sp1	protein_coding	chr15	102314578	102344839	+	7373	2609	2164	2327	3104
ENSMUSG00000001281.11	Itgb7	protein_coding	chr15	102124430	102140379	-	451	1240	1585	413	662
ENSMUSG00000001285.13	Myg1	protein_coding	chr15	102240144	102246574	+	123	545	258	535	546
ENSMUSG00000001288.16	Rarg	protein_coding	chr15	102143373	102165952	-	435	500	315	1192	1922
ENSMUSG00000001289.13	Pfdn5	protein_coding	chr15	102234551	102240308	+	640	653	538	652	885
ENSMUSG00000001300.17	Efnb2	protein_coding	chr8	8667434	8711242	-	232	47	67	34	69
ENSMUSG00000001305.6	Rrp15	protein_coding	chr1	186453175	186481555	-	954	1233	634	1438	1588
ENSMUSG00000001313.13	Rnd2	protein_coding	chr11	101355825	101362679	+	48	62	53	313	431
ENSMUSG00000001323.18	Srr	protein_coding	chr11	74797185	74816774	-	30	5	8	26	59
ENSMUSG00000001333.10	Sync	protein_coding	chr4	129181410	129202352	+	23	3	15	22	34
ENSMUSG00000001334.10	Fndc5	protein_coding	chr4	129030792	129038386	+	11	2	1	17	3
ENSMUSG00000001348.16	Acp5	protein_coding	chr9	22038023	22047007	-	32	38	63	37	77
ENSMUSG00000001349.6	Cnn1	protein_coding	chr9	22010512	22020926	+	9	4	1	8	12
ENSMUSG00000001366.15	Fbxo9	protein_coding	chr9	77988781	78016347	-	231	107	58	161	182
ENSMUSG00000001376.18	Vps50	protein_coding	chr6	3498382	3603531	+	1128	713	567	966	1146
ENSMUSG00000001380.8	Hars	protein_coding	chr18	36899581	36916258	-	1057	924	314	1520	1553
ENSMUSG00000001383.10	Zmat2	protein_coding	chr18	36926929	36932719	+	2112	1524	1077	1317	1416
ENSMUSG00000001403.14	Ube2c	protein_coding	chr2	164611818	164620742	+	303	2593	1752	986	1505
ENSMUSG00000001415.11	Smg5	protein_coding	chr3	88243567	88269645	+	837	246	205	2004	2594
ENSMUSG00000001416.14	Cct3	protein_coding	chr3	88204423	88229074	+	6153	4564	1509	9106	9752
ENSMUSG00000001418.14	Glmp	protein_coding	chr3	88232330	88238620	+	440	1117	1602	340	641
ENSMUSG00000001419.18	Mef2d	protein_coding	chr3	88049679	88079393	+	330	135	90	311	671
ENSMUSG00000001420.14	Tmem79	protein_coding	chr3	88235962	88243455	-	69	190	220	40	118
ENSMUSG00000001424.15	Snd1	protein_coding	chr6	28475138	28935161	+	2490	1697	1119	2471	3372
ENSMUSG00000001435.16	Col18a1	protein_coding	chr10	76888012	77002382	-	9282	25459	41662	4207	7228
ENSMUSG00000001436.16	Slc19a1	protein_coding	chr10	76868075	76896836	+	124	247	244	130	259
ENSMUSG00000001440.6	Kpnb1	protein_coding	chr11	97050540	97078707	-	17593	18067	7224	21987	23033
ENSMUSG00000001441.14	Npepps	protein_coding	chr11	97096668	97171464	-	4898	2046	1086	3523	4465
ENSMUSG00000001444.3	Tbx21	protein_coding	chr11	96988897	97006157	-	17	23	22	14	104
ENSMUSG00000001445.11	Mrpl10	protein_coding	chr11	96932386	96940039	+	549	791	697	842	1131
ENSMUSG00000001467.6	Cyp51	protein_coding	chr5	4131145	4154746	-	4488	1725	1320	1225	1042
ENSMUSG00000001472.18	Tcf25	protein_coding	chr8	124100492	124130574	+	1060	610	312	1648	2433
ENSMUSG00000001473.8	Tubb6	protein_coding	chr18	67523787	67535819	+	172	455	248	701	739
ENSMUSG00000001482.16	Def8	protein_coding	chr8	124150266	124190009	+	481	449	348	854	1174
ENSMUSG00000001493.10	Meox1	protein_coding	chr11	101768336	101785200	-	19	6	2	13	6
ENSMUSG00000001504.11	Irx2	protein_coding	chr13	72776939	72782317	+	4	6	5	2	18
ENSMUSG00000001506.11	Col1a1	protein_coding	chr11	94827050	94843868	+	28	40	63	12	16
ENSMUSG00000001507.17	Itga3	protein_coding	chr11	94935300	94967627	-	971	580	736	375	556
ENSMUSG00000001510.9	Dlx3	protein_coding	chr11	95010945	95016122	+	8	4	5	6	20
ENSMUSG00000001517.15	Foxm1	protein_coding	chr6	128339930	128353109	+	472	218	163	544	966
ENSMUSG00000001518.13	Itfg2	protein_coding	chr6	128386407	128401894	-	234	126	78	410	491
ENSMUSG00000001520.13	Nrip2	protein_coding	chr6	128376259	128393390	+	51	5	0	17	20
ENSMUSG00000001521.13	Tulp3	protein_coding	chr6	128298124	128332814	-	403	415	295	621	974
ENSMUSG00000001524.15	Gtf2h4	protein_coding	chr17	35978622	35984631	-	229	698	533	622	962
ENSMUSG00000001525.11	Tubb5	protein_coding	chr17	36144813	36149198	-	4024	17861	7336	18983	25468
ENSMUSG00000001542.8	Ell2	protein_coding	chr13	75854876	75920483	+	824	172	137	879	1147
ENSMUSG00000001552.15	Jup	protein_coding	chr11	100259784	100288589	-	1181	3819	2718	3064	6800
ENSMUSG00000001555.11	Fkbp10	protein_coding	chr11	100306523	100315650	+	279	209	256	76	143
ENSMUSG00000001558.6	Klhl10	protein_coding	chr11	100332743	100347848	+	54	26	28	30	41
ENSMUSG00000001566.10	Mnx1	protein_coding	chr5	29678032	29683468	-	4	2	0	0	8
ENSMUSG00000001569.11	Nom1	protein_coding	chr5	29639662	29662841	+	884	220	69	1014	1030
ENSMUSG00000001576.16	Ergic1	protein_coding	chr17	26780463	26875908	+	597	845	1037	750	1499
ENSMUSG00000001583.14	Tnk1	protein_coding	chr11	69741831	69749556	-	32	95	90	148	322
ENSMUSG00000001588.13	Acap1	protein_coding	chr11	69772393	69786365	-	56	85	15	249	240
ENSMUSG00000001604.15	Tcea3	protein_coding	chr4	135975040	136002209	+	658	832	385	1561	1229
ENSMUSG00000001627.13	Ifrd1	protein_coding	chr12	40251566	40298503	-	849	267	86	772	723
ENSMUSG00000001630.14	Stk38l	protein_coding	chr6	146626493	146680310	+	280	49	21	414	338
ENSMUSG00000001632.17	Brpf1	protein_coding	chr6	113284098	113301821	+	391	103	62	643	1137
ENSMUSG00000001642.19	Akr1b3	protein_coding	chr6	34279369	34294413	-	144	190	72	453	631
ENSMUSG00000001655.7	Hoxc13	protein_coding	chr15	102829538	102837249	+	14	5	4	18	21
ENSMUSG00000001663.11	Gstt1	protein_coding	chr10	75619647	75634418	-	27	60	19	35	28
ENSMUSG00000001665.12	Gstt3	protein_coding	chr10	75609949	75617248	-	224	41	29	76	113
ENSMUSG00000001666.9	Ddt	protein_coding	chr10	75607064	75609248	-	139	442	420	333	473
ENSMUSG00000001672.15	Marveld3	protein_coding	chr8	110674546	110688835	-	107	25	19	26	77
ENSMUSG00000001674.12	Ddx18	protein_coding	chr1	121481564	121495718	-	290	448	127	838	995
ENSMUSG00000001687.16	Ubl3	protein_coding	chr5	148441445	148489599	-	671	262	219	861	1204
ENSMUSG00000001700.11	Gramd3	protein_coding	chr18	56533409	56636864	+	127	32	27	58	79
ENSMUSG00000001707.9	Eef1e1	protein_coding	chr13	38828183	38843034	-	645	1168	706	804	796
ENSMUSG00000001729.15	Akt1	protein_coding	chr12	112620255	112641318	-	128	144	59	427	532
ENSMUSG00000001739.15	Cldn15	protein_coding	chr5	136995470	137004712	+	6	1	0	8	7
ENSMUSG00000001741.13	Il16	protein_coding	chr7	83292033	83394934	-	32	1	1	0	9
ENSMUSG00000001750.17	Tcirg1	protein_coding	chr19	3946050	3957133	-	63	214	231	127	221
ENSMUSG00000001751.10	Naglu	protein_coding	chr11	100960838	100968498	+	59	39	80	43	37
ENSMUSG00000001755.13	Coasy	protein_coding	chr11	100973391	100977445	+	204	219	138	376	407
ENSMUSG00000001761.8	Smo	protein_coding	chr6	29735502	29761364	+	188	61	76	177	280
ENSMUSG00000001763.15	Tspan33	protein_coding	chr6	29694221	29718558	+	91	89	74	96	82
ENSMUSG00000001767.6	Crnkl1	protein_coding	chr2	145759399	145776934	-	1302	257	95	841	695
ENSMUSG00000001768.17	Rin2	protein_coding	chr2	145517135	145729536	+	121	61	37	151	219
ENSMUSG00000001773.15	Folh1	protein_coding	chr7	86368185	86425151	-	18	10	16	1	10
ENSMUSG00000001774.9	Chordc1	protein_coding	chr9	18203421	18228738	+	1725	829	477	1110	1280
ENSMUSG00000001783.4	Rtcb	protein_coding	chr10	85774501	85793687	-	924	747	274	2020	1990
ENSMUSG00000001785.14	Pwp1	protein_coding	chr10	85665358	85724960	+	550	855	247	1103	1332
ENSMUSG00000001786.15	Fbxo7	protein_coding	chr10	85857836	85887737	+	343	175	111	255	240
ENSMUSG00000001794.14	Capns1	protein_coding	chr7	29886361	29898236	-	1124	2154	1645	2441	4448
ENSMUSG00000001802.17	Lrp3	protein_coding	chr7	34899452	34914923	-	2	4	3	37	23
ENSMUSG00000001827.13	Folr1	protein_coding	chr7	101507538	101519995	-	159	828	721	226	274
ENSMUSG00000001829.18	Clpb	protein_coding	chr7	101312840	101444713	+	1668	1034	972	981	1369
ENSMUSG00000001833.18	Septin7	protein_coding	chr9	25163735	25219867	+	1125	862	356	1443	1069
ENSMUSG00000001844.11	Zdhhc4	protein_coding	chr5	143302244	143315011	-	133	63	77	113	226
ENSMUSG00000001847.15	Rac1	protein_coding	chr5	143489389	143513791	-	705	947	700	1229	1420
ENSMUSG00000001855.16	Nup214	protein_coding	chr2	31864448	31943987	+	862	2480	1826	1149	1950
ENSMUSG00000001864.14	Aif1l	protein_coding	chr2	31840151	31863454	+	23	33	25	46	72
ENSMUSG00000001870.17	Ltbp1	protein_coding	chr17	75312563	75699507	+	224	87	221	77	116
ENSMUSG00000001891.17	Ugp2	protein_coding	chr11	21271138	21321201	-	399	241	107	374	390
ENSMUSG00000001901.16	Kcnh6	protein_coding	chr11	105898950	105925375	+	56	31	20	51	57
