gene_id	gene_name	gene_type	chrom	start	end	strand	clip_count	rpf_siLuc	rpf_siLin28a	rna_siLuc	rna_siLin28a	clip_enrichment_log2	te_change_log2	group
ENSMUSG00000000194.14	Gpr107	protein_coding	chr2	31042328	31108787	+	1231	674	979	589	886	0.96072485126656	-0.05032490298748291	other
ENSMUSG00000000197.9	Nalcn	protein_coding	chr14	123514046	123864556	-	16	1	6	13	17	0.3098552625867875	1.444784842672896	other
ENSMUSG00000000223.14	Drp2	protein_coding	chrX	133305300	133357322	+	6	4	0	11	8	-0.36257007938470825	-1.9068905956085185	other
ENSMUSG00000000244.18	Tspan32	protein_coding	chr7	142558783	142573381	+	13	3	4	16	24	-0.36257007938470825	-0.23446525363702278	other
ENSMUSG00000000247.12	Lhx2	protein_coding	chr2	38229293	38259745	+	0	3	5	1	3	-1.3625700793847082	-0.4150374992788438	Q3_clip_low_te_down
ENSMUSG00000000253.14	Gmpr	protein_coding	chr13	45660920	45707276	+	77	102	55	126	162	-0.6721144498162381	-1.239189072584526	Q3_clip_low_te_down
ENSMUSG00000000275.17	Trim25	protein_coding	chr11	88890202	88911119	+	1599	1455	683	2512	3681	-0.7306399559167913	-1.6410210807820496	Q3_clip_low_te_down
ENSMUSG00000000276.12	Dgke	protein_coding	chr11	88926005	88957676	-	683	143	148	524	590	0.5161236243931583	-0.12159718860419817	other
ENSMUSG00000000278.11	Scpep1	protein_coding	chr11	88814846	88846291	-	6118	5318	7242	2554	3771	1.1741667246563574	-0.11657404650663032	other
ENSMUSG00000000282.13	Mnt	protein_coding	chr11	74721746	74736551	+	636	321	263	649	1233	-0.342041266020035	-1.2113535299897644	other
ENSMUSG00000000290.14	Itgb2	protein_coding	chr10	77366086	77401542	+	5	6	0	5	10	-0.2801079191927352	-3.6818240399737454	other
ENSMUSG00000000295.14	Hddc2	protein_coding	chr10	31189379	31204200	+	267	372	260	303	340	-0.044673738516396104	-0.6808262392659403	other
ENSMUSG00000000296.9	Tpd52l1	protein_coding	chr10	31208372	31321954	-	207	171	121	206	203	0.2398375557958575	-0.47446580161138213	other
ENSMUSG00000000301.17	Pemt	protein_coding	chr11	59861440	59937315	-	86	60	68	56	86	0.49541091574286394	-0.43226636246870387	other
ENSMUSG00000000303.13	Cdh1	protein_coding	chr8	107329983	107396878	+	17255	7620	10857	3592	4823	2.258112480498298	0.08566519661496491	other
ENSMUSG00000000305.13	Cdh4	protein_coding	chr2	179084224	179541166	+	88	82	312	50	248	-0.530692838193035	-0.37259717451089175	Q3_clip_low_te_down
ENSMUSG00000000308.15	Ckmt1	protein_coding	chr2	121188195	121194218	+	37	158	132	201	373	-2.699605066662279	-1.1462834969190079	Q3_clip_low_te_down
ENSMUSG00000000317.12	Bcl6b	protein_coding	chr11	70114954	70120624	-	88	44	28	106	189	-0.5161932684979198	-1.4622607231319034	Q3_clip_low_te_down
ENSMUSG00000000320.11	Alox12	protein_coding	chr11	70132283	70146179	-	11	27	16	48	76	-2.1699250014423126	-1.371968777386958	Q3_clip_low_te_down
ENSMUSG00000000326.14	Comt	protein_coding	chr16	18225636	18245602	-	150	101	103	473	390	-1.2957591618625601	0.30573282776050337	Q2_clip_low_te_up
ENSMUSG00000000339.15	Rtca	protein_coding	chr3	116282612	116301857	-	503	308	205	536	660	-0.026739847952421323	-0.8846906842434353	other
ENSMUSG00000000340.11	Dbt	protein_coding	chr3	116306719	116343630	+	922	685	723	549	813	0.6589513299580496	-0.48781605494383207	Q4_clip_high_te_down
ENSMUSG00000000346.10	Dazap2	protein_coding	chr15	100513230	100518642	+	261	287	338	373	643	-0.7357064232017968	-0.5488059565329487	Q3_clip_low_te_down
ENSMUSG00000000355.14	Mcts1	protein_coding	chrX	37689455	37702303	+	118	179	87	119	145	0.06192774914320203	-1.3153554409638761	other
ENSMUSG00000000365.10	Rnf17	protein_coding	chr14	56640038	56762489	+	516	277	108	558	364	0.384663850235325	-0.7358049288707704	other
ENSMUSG00000000374.9	Trappc10	protein_coding	chr10	78022559	78080475	-	463	50	60	405	484	0.28109179494209807	0.001806975702076561	other
ENSMUSG00000000378.16	Ccm2	protein_coding	chr11	6496887	6546744	+	377	173	116	514	649	-0.4014793939841221	-0.9084460621105599	other
ENSMUSG00000000384.16	Tbrg4	protein_coding	chr11	6565598	6576067	-	1002	1543	933	2204	3128	-1.1885037976022976	-1.2301013003544574	Q3_clip_low_te_down
ENSMUSG00000000399.11	Ndufa9	protein_coding	chr6	126798684	126826099	-	1957	1827	1856	758	1075	1.3159931232095678	-0.4807985422638068	Q4_clip_high_te_down
ENSMUSG00000000402.3	Egfl6	protein_coding	chrX	165306003	165368716	-	64	27	84	18	28	1.6597977336437466	0.991982532396111	Q1_clip_high_te_up
ENSMUSG00000000409.15	Lck	protein_coding	chr4	129442137	129467434	-	112	129	64	344	348	-1.396220468826625	-1.016630674544121	Q3_clip_low_te_down
ENSMUSG00000000416.17	Cttnbp2	protein_coding	chr6	18366477	18514842	-	24	14	21	34	71	-0.8752183752899741	-0.4881009614685671	Q3_clip_low_te_down
ENSMUSG00000000420.16	Galnt1	protein_coding	chr18	24338401	24419875	+	1706	285	431	525	736	1.6570008405766339	0.10841434558231183	other
ENSMUSG00000000439.10	Mkrn2	protein_coding	chr6	115578863	115599585	+	212	233	143	289	431	-0.5387529853248846	-1.2754181302896264	Q3_clip_low_te_down
ENSMUSG00000000441.18	Raf1	protein_coding	chr6	115595028	115653596	-	563	314	227	896	1129	-0.6231865997316574	-0.7994608866058259	Q3_clip_low_te_down
ENSMUSG00000000486.14	Septin1	protein_coding	chr7	126813619	126832302	-	215	501	337	772	1460	-2.148133546983398	-1.4890799765472387	Q3_clip_low_te_down
ENSMUSG00000000489.8	Pdgfb	protein_coding	chr15	79880075	79899178	-	51	61	58	72	90	-0.43471986514054356	-0.3895233423437128	other
ENSMUSG00000000530.17	Acvrl1	protein_coding	chr15	101026403	101043217	+	24	18	26	13	27	0.4739311883324125	-0.493040011280117	other
ENSMUSG00000000531.6	Tamalin	protein_coding	chr15	101122069	101130637	+	111	151	97	238	377	-1.2393793357553657	-1.2945932855687015	Q3_clip_low_te_down
ENSMUSG00000000532.12	Acvr1b	protein_coding	chr15	101071948	101111565	+	1992	401	636	625	878	1.6275706445284417	0.1743973628665861	other
ENSMUSG00000000538.19	Tom1l2	protein_coding	chr11	60117540	60243731	-	111	87	64	242	448	-1.4048808842426723	-1.3228229367442088	Q3_clip_low_te_down
ENSMUSG00000000544.15	Gpa33	protein_coding	chr1	165957807	165994079	+	3379	1704	3409	1461	2370	1.0409416697054767	0.30244764847042954	Q1_clip_high_te_up
ENSMUSG00000000552.11	Zfp385a	protein_coding	chr15	103222322	103248520	-	108	146	83	194	290	-0.9342357574924065	-1.3848999512162774	Q3_clip_low_te_down
ENSMUSG00000000555.9	Itga5	protein_coding	chr15	103252713	103275190	-	578	1119	1535	506	724	0.13302541863078327	-0.06031576412276661	other
ENSMUSG00000000561.15	Wdr77	protein_coding	chr3	105866685	105877353	+	1919	2	2	1035	1134	1.0451390063298223	-0.1316682944917235	other
ENSMUSG00000000562.6	Adora3	protein_coding	chr3	105778174	105816242	+	6	1	0	1	12	0.12285674778553367	-3.700439718141092	other
ENSMUSG00000000563.18	Atp5pb	protein_coding	chr3	105850014	105867415	-	3798	1813	1048	1663	1591	1.4449114337352233	-0.7263446803538116	Q4_clip_high_te_down
ENSMUSG00000000568.16	Hnrnpd	protein_coding	chr5	100103794	100126797	-	3205	3426	1258	3339	2938	0.2526320345141309	-1.260145165090076	other
ENSMUSG00000000579.15	Dynlt1c	protein_coding	chr17	6869070	6877173	+	35	4	2	52	64	-0.49032562658308076	-1.0314129526314615	other
ENSMUSG00000000581.9	C1d	protein_coding	chr11	17207579	17219176	+	655	502	406	591	571	0.39506908304624777	-0.2559475766887196	other
ENSMUSG00000000594.8	Gm2a	protein_coding	chr11	54988941	55003855	+	1039	1135	1648	458	857	0.881720604108388	-0.3648549301529526	Q4_clip_high_te_down
ENSMUSG00000000600.16	Krit1	protein_coding	chr5	3853184	3895564	+	687	132	62	598	765	0.2339719402313311	-1.4327909011374447	other
ENSMUSG00000000605.10	Clcn4	protein_coding	chr7	7285308	7303850	-	484	91	108	113	149	2.0998392390524847	-0.15130630761122565	other
ENSMUSG00000000606.19	Vmn2r88	protein_coding	chr14	51648277	51658178	+	8	0	0	4	6	0.8073549220576041	-0.48542682717024194	Q4_clip_high_te_down
ENSMUSG00000000627.16	Sema4f	protein_coding	chr6	82888866	82916750	-	27	18	25	15	21	0.7818198299504665	-0.006919413939790465	other
ENSMUSG00000000628.11	Hk2	protein_coding	chr6	82702006	82751435	-	1381	637	228	2674	3062	-0.8313979310439579	-1.6736153010910115	Q3_clip_low_te_down
ENSMUSG00000000631.21	Myo18a	protein_coding	chr11	77654072	77756806	+	1842	97	85	1508	2391	0.14060449394259897	-0.8530696730845321	other
ENSMUSG00000000632.14	Sez6	protein_coding	chr11	77821626	77869874	+	3	13	52	13	29	-2.237039197300849	0.8210298589546806	Q2_clip_low_te_up
ENSMUSG00000000673.10	Haao	protein_coding	chr17	84138585	84155392	-	2	1	3	6	1	-0.36257007938470825	2.807354922057604	other
ENSMUSG00000000682.8	Cd52	protein_coding	chr4	133809759	133822393	-	12	1	3	7	7	0.9228321394775402	1.0	Q1_clip_high_te_up
ENSMUSG00000000693.11	Loxl3	protein_coding	chr6	83011154	83029543	+	0	6	2	7	1	-2.099535673550914	0.777607578663552	Q2_clip_low_te_up
ENSMUSG00000000708.15	Kat2b	protein_coding	chr17	53873889	53979748	+	823	138	158	676	1143	0.07837774154282813	-0.5629174306425447	other
ENSMUSG00000000711.4	Rab5b	protein_coding	chr10	128513044	128532133	-	517	98	78	536	768	-0.1117384725234289	-0.8436373818789207	other
ENSMUSG00000000724.11	Cryba1	protein_coding	chr11	77609441	77616109	-	36	0	1	10	7	2.183918273521812	1.4594316186372973	Q1_clip_high_te_up
ENSMUSG00000000730.14	Dnmt3l	protein_coding	chr10	77877781	77899456	+	1205	2257	478	2699	1914	-0.7137083192966037	-1.7413329099109467	Q3_clip_low_te_down
ENSMUSG00000000731.16	Aire	protein_coding	chr10	77865856	77879444	-	18	72	63	209	380	-3.736694385397499	-1.0492262287072165	Q3_clip_low_te_down
ENSMUSG00000000732.10	Icosl	protein_coding	chr10	77905136	77919747	+	146	78	71	160	205	-0.0975714866704004	-0.48943939580339196	other
ENSMUSG00000000738.19	Spg7	protein_coding	chr8	123789681	123824499	+	832	525	517	903	1244	-0.14488466072578784	-0.48386176614600385	other
ENSMUSG00000000739.15	Sult5a1	protein_coding	chr8	123866931	123885054	-	16	43	22	18	43	-0.6674246609131291	-2.1473737677739964	Q3_clip_low_te_down
ENSMUSG00000000740.13	Rpl13	protein_coding	chr8	123829089	123831983	+	1389	2440	1916	1290	1052	0.46850473452507	-0.05463839383152952	other
ENSMUSG00000000743.10	Chmp1a	protein_coding	chr8	123931003	123939502	-	394	307	215	696	827	-0.7264922629366976	-0.7603711501623351	Q3_clip_low_te_down
ENSMUSG00000000751.14	Rpa1	protein_coding	chr11	75188992	75239150	-	4729	2440	644	5894	6067	-0.11627471417053796	-1.9618305018504458	other
ENSMUSG00000000753.16	Serpinf1	protein_coding	chr11	75300595	75313527	-	45	14	9	12	11	2.1020981876187363	-0.46948528330122	Q4_clip_high_te_down
ENSMUSG00000000759.15	Tubgcp3	protein_coding	chr8	12664277	12722248	-	301	199	110	457	727	-0.7510911338844768	-1.5180311755263711	Q3_clip_low_te_down
ENSMUSG00000000776.14	Polr3d	protein_coding	chr14	70676197	70680887	-	174	177	98	465	451	-1.1687468102450311	-0.8023696286476957	Q3_clip_low_te_down
ENSMUSG00000000782.17	Tcf7	protein_coding	chr11	52143198	52174158	-	523	534	428	707	1175	-0.623767826738885	-1.0506280385423306	Q3_clip_low_te_down
ENSMUSG00000000787.13	Ddx3x	protein_coding	chrX	13147209	13160291	+	9668	4479	1417	10923	10910	0.047188484449532	-1.6579233121169372	other
ENSMUSG00000000791.10	Il12rb1	protein_coding	chr8	71261093	71274068	+	16	11	14	21	20	-0.11640949211531065	0.3890422907458996	other
ENSMUSG00000000792.3	Slc5a5	protein_coding	chr8	71335533	71345401	-	7	34	32	26	18	-1.301169534720565	0.42207109113337016	Q2_clip_low_te_up
ENSMUSG00000000794.10	Kcnn3	protein_coding	chr3	89427471	89582439	+	7	4	9	10	23	-0.9068905956085186	-0.12553088208385882	other
ENSMUSG00000000804.15	Usp32	protein_coding	chr11	84875268	85030987	-	1334	379	232	1795	1777	-0.19830747113012634	-0.6911374377652904	other
ENSMUSG00000000805.19	Car4	protein_coding	chr11	84848612	84856870	+	17	36	6	20	2	0.8073549220576041	0.40525647848625845	Q1_clip_high_te_up
ENSMUSG00000000811.15	Txnrd3	protein_coding	chr6	89620970	89652511	+	83	79	28	176	169	-0.8240820084630526	-1.4057324858144944	Q3_clip_low_te_down
ENSMUSG00000000823.17	Zfp512b	protein_coding	chr2	181223896	181234596	-	167	55	55	388	702	-1.478047296804644	-0.8537545340863436	Q3_clip_low_te_down
ENSMUSG00000000826.17	Dnajc5	protein_coding	chr2	181162278	181196926	+	906	365	281	1147	1486	-0.3162360846596065	-0.7494304912619798	other
ENSMUSG00000000827.19	Tpd52l2	protein_coding	chr2	181138935	181159759	+	760	1166	732	1083	1328	-0.44246713537575805	-0.9648958054958391	other
ENSMUSG00000000838.18	Fmr1	protein_coding	chrX	67722147	67761569	+	1246	288	143	1177	1165	0.31188131674387015	-0.9902289304284022	other
ENSMUSG00000000861.16	Bcl11a	protein_coding	chr11	24028056	24124123	+	37	10	6	29	42	0.2804953759000162	-1.1714508556732723	other
ENSMUSG00000000876.12	Pxmp4	protein_coding	chr2	154427678	154445628	-	67	66	115	66	71	0.1909141898632799	0.6880559936852598	other
ENSMUSG00000000881.13	Dlg3	protein_coding	chrX	99811328	99862016	+	185	102	48	283	302	-0.4356654606655726	-1.165217547036279	other
ENSMUSG00000000884.18	Gnb1l	protein_coding	chr16	18317463	18385429	+	56	67	58	99	108	-0.6520766965796931	-0.3291479268907	Q3_clip_low_te_down
ENSMUSG00000000901.18	Mmp11	protein_coding	chr10	75759056	75772330	-	928	254	333	281	418	1.6286565737084777	-0.18190422568536382	other
ENSMUSG00000000902.14	Smarcb1	protein_coding	chr10	75732603	75757451	-	401	1048	440	1066	1743	-1.5834236258649663	-1.9590039809722481	Q3_clip_low_te_down
ENSMUSG00000000903.4	Vpreb3	protein_coding	chr10	75778891	75785491	+	35	8	6	24	22	0.8073549220576041	-0.24227584566699628	other
ENSMUSG00000000915.16	Hip1r	protein_coding	chr5	124111691	124143621	+	558	111	108	350	653	0.37611710811334714	-0.9369902024741995	other
ENSMUSG00000000916.16	Nsun5	protein_coding	chr5	135398807	135405659	+	80	248	105	372	489	-2.190974324957882	-1.6256875962522146	Q3_clip_low_te_down
ENSMUSG00000000934.10	Top1mt	protein_coding	chr15	75528884	75550649	-	102	53	44	116	197	-0.39031506986761233	-1.022026306329999	other
ENSMUSG00000000948.17	Gm38393	protein_coding	chr7	59623897	59654812	-	693	13	4	539	472	0.6767658151135707	-1.2943076034588061	Q4_clip_high_te_down
ENSMUSG00000000957.12	Mmp14	protein_coding	chr14	54669069	54682821	+	197	225	364	139	210	0.3964218211114968	0.09975751958997316	other
ENSMUSG00000000958.11	Slc7a7	protein_coding	chr14	54606899	54655237	-	1430	1524	1136	936	610	1.1090106219187055	0.19329967939509424	other
ENSMUSG00000000959.8	Oxa1l	protein_coding	chr14	54598291	54607130	+	314	1145	1124	728	1134	-1.3425857049305534	-0.6653836205038456	Q3_clip_low_te_down
ENSMUSG00000000976.14	Heatr6	protein_coding	chr11	83644522	83674580	+	233	352	157	513	807	-1.2757493205878392	-1.8123305586519938	Q3_clip_low_te_down
ENSMUSG00000001016.13	Ilf2	protein_coding	chr3	90383433	90395686	+	947	1193	434	1618	1967	-0.6974263597228173	-1.738342765565388	Q3_clip_low_te_down
ENSMUSG00000001017.16	Chtop	protein_coding	chr3	90406263	90416805	-	740	961	422	1834	2205	-1.2247744825411775	-1.4510319585108997	Q3_clip_low_te_down
ENSMUSG00000001018.16	Snapin	protein_coding	chr3	90395333	90398340	-	391	168	150	282	293	0.6646747568061737	-0.21748879896158752	other
ENSMUSG00000001025.9	S100a6	protein_coding	chr3	90520189	90531488	+	132	600	791	130	265	-0.3553203403053201	-0.6237239945953151	other
ENSMUSG00000001027.8	Scn4a	protein_coding	chr11	106209418	106244114	-	8	10	11	0	9	0.9328858041414633	-3.1963972128035034	Q4_clip_high_te_down
ENSMUSG00000001029.16	Icam2	protein_coding	chr11	106268482	106278901	-	21	9	8	7	5	1.8744691179161412	0.2630344058337938	other
ENSMUSG00000001034.18	Mapk7	protein_coding	chr11	61379638	61385232	-	121	331	242	518	850	-2.2668304189485546	-1.163651521069226	Q3_clip_low_te_down
ENSMUSG00000001036.18	Epn2	protein_coding	chr11	61408075	61470513	-	1423	526	298	1316	1639	0.16820732418252154	-1.1340979466880412	other
ENSMUSG00000001039.13	B9d1	protein_coding	chr11	61395970	61403757	+	221	464	451	266	338	-0.226365695786397	-0.38535347502899614	other
ENSMUSG00000001052.16	Sec24b	protein_coding	chr3	129776408	129855202	-	218	446	268	470	800	-1.315703474346734	-1.4987438414226206	Q3_clip_low_te_down
ENSMUSG00000001053.16	N4bp3	protein_coding	chr11	51533890	51541669	-	400	695	335	1134	1457	-1.4705556430619262	-1.4119244952186276	Q3_clip_low_te_down
ENSMUSG00000001054.10	Rmnd5b	protein_coding	chr11	51514498	51526723	-	555	1143	846	1606	3399	-1.9483972460237995	-1.514817994796161	Q3_clip_low_te_down
ENSMUSG00000001056.4	Nhp2	protein_coding	chr11	51510562	51514541	+	3112	4425	3387	2735	3010	0.3378889489702186	-0.5237440543075926	other
ENSMUSG00000001062.19	Vps9d1	protein_coding	chr8	123969095	123981087	-	47	24	14	66	133	-0.8436967691213244	-1.7369655941662063	Q3_clip_low_te_down
ENSMUSG00000001065.16	Zfp276	protein_coding	chr8	123980934	123996484	+	29	22	9	96	154	-1.84799690655495	-1.8778454242567604	Q3_clip_low_te_down
ENSMUSG00000001076.8	C1ql4	protein_coding	chr15	98981967	98985698	-	10	2	3	5	8	0.7749334443652266	-0.16992500144231246	other
ENSMUSG00000001082.13	Mfsd10	protein_coding	chr5	34790986	34794556	-	297	890	1388	315	597	-0.39448941325946	-0.2796716635615316	other
ENSMUSG00000001089.15	Luzp1	protein_coding	chr4	136197072	136282091	+	2229	430	207	1732	2127	0.43046157720225736	-1.347330837289026	other
ENSMUSG00000001095.6	Slc13a2	protein_coding	chr11	78287913	78313043	-	13	4	4	2	5	1.8598223419517397	-1.0	Q4_clip_high_te_down
ENSMUSG00000001098.16	Kctd10	protein_coding	chr5	114501628	114518569	-	101	322	192	276	450	-1.6129768768907526	-1.446174774632037	Q3_clip_low_te_down
ENSMUSG00000001100.11	Poldip2	protein_coding	chr11	78403019	78413562	+	689	1126	609	1802	2082	-1.2712252125833652	-1.0938698103302775	Q3_clip_low_te_down
ENSMUSG00000001103.8	Sebox	protein_coding	chr11	78394273	78395907	+	0	0	1	7	4	-2.478047296804644	1.6780719051126378	Q2_clip_low_te_up
ENSMUSG00000001105.16	Ift20	protein_coding	chr11	78427187	78432563	+	420	520	277	686	780	-0.5795674084403687	-1.0912109388788798	Q3_clip_low_te_down
ENSMUSG00000001119.8	Col6a1	protein_coding	chr10	76544626	76562002	-	0	4	8	1	5	-1.777607578663552	-0.7369655941662062	Q3_clip_low_te_down
ENSMUSG00000001120.16	Pcbp3	protein_coding	chr10	76597691	76797721	-	126	154	73	252	287	-0.8684076757182012	-1.25360246639329	Q3_clip_low_te_down
ENSMUSG00000001123.16	Lgals9	protein_coding	chr11	78853800	78875772	-	32	66	55	33	128	-1.0819416135361761	-2.182498682573083	Q3_clip_low_te_down
ENSMUSG00000001127.13	Araf	protein_coding	chrX	20664053	20726758	+	1212	313	388	463	831	1.1269062535723335	-0.533453126918955	Q4_clip_high_te_down
ENSMUSG00000001128.8	Cfp	protein_coding	chrX	20791693	20797794	-	28	130	289	45	137	-1.4431885395929926	-0.4384764122436721	Q3_clip_low_te_down
ENSMUSG00000001131.12	Timp1	protein_coding	chrX	20736405	20740974	+	108	675	876	149	235	-0.601880291154706	-0.27827076270341167	other
ENSMUSG00000001134.10	Uxt	protein_coding	chrX	20807961	20828256	-	53	42	33	97	77	-0.4821516951373807	-0.009494288198798613	other
ENSMUSG00000001138.14	Cnnm3	protein_coding	chr1	36550948	36567318	+	568	315	393	401	617	0.3803238267841719	-0.30214026544617256	other
ENSMUSG00000001143.14	Lman2l	protein_coding	chr1	36458952	36484352	-	504	232	294	354	442	0.5622870627532595	0.020897325431949516	other
ENSMUSG00000001150.8	Mcm3ap	protein_coding	chr10	76304761	76351691	+	1080	741	351	2111	2834	-0.9717949550875249	-1.5005826584546438	Q3_clip_low_te_down
ENSMUSG00000001151.11	Pcnt	protein_coding	chr10	76187097	76278620	-	6143	692	657	2529	3790	1.181417822519142	-0.6582088399909437	Q4_clip_high_te_down
ENSMUSG00000001156.10	Mxd1	protein_coding	chr6	86624024	86646143	-	65	22	31	94	160	-0.7332134593050986	-0.28462322584068217	other
ENSMUSG00000001157.14	Gmcl1	protein_coding	chr6	86668750	86710365	-	535	149	138	591	838	-0.19432634493244721	-0.6129512525832468	other
ENSMUSG00000001158.14	Snrnp27	protein_coding	chr6	86652133	86661504	-	451	484	286	324	283	0.7922729658453032	-0.5623852219876674	Q4_clip_high_te_down
ENSMUSG00000001166.18	Oas1c	protein_coding	chr5	120938259	120950579	-	17	5	9	37	56	-1.1775381855521874	0.15200309344505006	other
ENSMUSG00000001168.17	Oas1h	protein_coding	chr5	120999484	121011569	+	0	0	1	5	5	-2.3625700793847084	1.0	Q2_clip_low_te_up
ENSMUSG00000001173.16	Ocrl	protein_coding	chrX	47001264	47054745	+	340	169	169	439	748	-0.5795126493850353	-0.7674621949340913	Q3_clip_low_te_down
ENSMUSG00000001175.17	Calm1	protein_coding	chr12	100165694	100176073	+	1857	2855	1966	3473	4524	-0.8836767287908809	-0.9193190598981067	Q3_clip_low_te_down
ENSMUSG00000001211.16	Agpat3	protein_coding	chr10	78105012	78188323	-	93	41	60	111	163	-0.3315431837640836	-0.011777167776353662	other
ENSMUSG00000001227.13	Sema6b	protein_coding	chr17	56430085	56447343	-	70	19	16	26	53	1.0322895379565056	-1.2344652536370229	Q4_clip_high_te_down
ENSMUSG00000001228.15	Uhrf1	protein_coding	chr17	56610321	56630486	+	1575	1589	444	3294	4356	-1.057176917553288	-2.2402061723377114	Q3_clip_low_te_down
ENSMUSG00000001229.10	Dpp9	protein_coding	chr17	56493807	56525905	-	247	293	154	423	754	-1.0267592712564395	-1.755960319211369	Q3_clip_low_te_down
ENSMUSG00000001240.14	Ramp2	protein_coding	chr11	101136854	101150372	+	9	12	22	5	14	0.15200309344505006	-0.4988058569714413	other
ENSMUSG00000001247.17	Lsr	protein_coding	chr7	30657195	30672889	-	74	205	239	124	261	-1.1449786443120813	-0.8472486484500632	Q3_clip_low_te_down
ENSMUSG00000001248.16	Gramd1a	protein_coding	chr7	30829552	30855321	-	87	212	219	489	834	-2.6899526043641786	-0.7223443550600226	Q3_clip_low_te_down
ENSMUSG00000001249.15	Hpn	protein_coding	chr7	30798150	30814715	-	36	33	31	36	42	0.10991769207803558	-0.3042742303234876	other
ENSMUSG00000001270.10	Ckb	protein_coding	chr12	111635795	111638772	-	633	3988	2012	4363	8112	-3.0762520188916573	-1.8812643379062923	Q3_clip_low_te_down
